id_student,code_module,module_name,domain,code_presentation,final_result,studied_credits
11391,AAA,Social Sciences Foundation,Social Sciences,2013J,Pass,240
28400,AAA,Social Sciences Foundation,Social Sciences,2013J,Pass,60
30268,AAA,Social Sciences Foundation,Social Sciences,2013J,Withdrawn,60
31604,AAA,Social Sciences Foundation,Social Sciences,2013J,Pass,60
32885,AAA,Social Sciences Foundation,Social Sciences,2013J,Pass,60
38053,AAA,Social Sciences Foundation,Social Sciences,2013J,Pass,60
45462,AAA,Social Sciences Foundation,Social Sciences,2013J,Pass,60
45642,AAA,Social Sciences Foundation,Social Sciences,2013J,Pass,120
52130,AAA,Social Sciences Foundation,Social Sciences,2013J,Pass,90
53025,AAA,Social Sciences Foundation,Social Sciences,2013J,Pass,60
57506,AAA,Social Sciences Foundation,Social Sciences,2013J,Pass,60
58873,AAA,Social Sciences Foundation,Social Sciences,2013J,Pass,60
59185,AAA,Social Sciences Foundation,Social Sciences,2013J,Pass,60
62155,AAA,Social Sciences Foundation,Social Sciences,2013J,Pass,60
63400,AAA,Social Sciences Foundation,Social Sciences,2013J,Pass,60
65002,AAA,Social Sciences Foundation,Social Sciences,2013J,Withdrawn,60
70464,AAA,Social Sciences Foundation,Social Sciences,2013J,Pass,60
71361,AAA,Social Sciences Foundation,Social Sciences,2013J,Pass,60
74372,AAA,Social Sciences Foundation,Social Sciences,2013J,Fail,150
75091,AAA,Social Sciences Foundation,Social Sciences,2013J,Pass,60
77367,AAA,Social Sciences Foundation,Social Sciences,2013J,Pass,60
91265,AAA,Social Sciences Foundation,Social Sciences,2013J,Pass,60
94961,AAA,Social Sciences Foundation,Social Sciences,2013J,Withdrawn,60
98094,AAA,Social Sciences Foundation,Social Sciences,2013J,Pass,60
100893,AAA,Social Sciences Foundation,Social Sciences,2013J,Pass,60
101781,AAA,Social Sciences Foundation,Social Sciences,2013J,Pass,60
102806,AAA,Social Sciences Foundation,Social Sciences,2013J,Pass,60
102952,AAA,Social Sciences Foundation,Social Sciences,2013J,Pass,60
