id_student,modules,n_modules
3733,"[""Technology Studies""]",1
6516,"[""Social Sciences Foundation""]",1
8462,"[""Technology Studies""]",1
11391,"[""Social Sciences Foundation""]",1
23629,"[""Humanities""]",1
23632,"[""Humanities""]",1
23698,"[""Computing & IT""]",1
23798,"[""Humanities""]",1
24186,"[""Education Studies""]",1
24213,"[""Technology Studies""]",1
24391,"[""Education Studies""]",1
24734,"[""Social Sciences Foundation""]",1
25107,"[""Humanities""]",1
25150,"[""Mathematics""]",1
25261,"[""Computing & IT""]",1
25572,"[""Technology Studies""]",1
25629,"[""Humanities""]",1
25997,"[""Humanities""]",1
26023,"[""Education Studies""]",1
26192,"[""Social Sciences Foundation""]",1
26211,"[""Engineering""]",1
26247,"[""Engineering""]",1
26269,"[""Engineering""]",1
26315,"[""Humanities""]",1
26677,"[""Humanities""]",1
26734,"[""Humanities""]",1
26915,"[""Mathematics""]",1
27116,"[""Computing & IT""]",1
27189,"[""Engineering""]",1
27417,"[""Technology Studies""]",1
27457,"[""Humanities""]",1
27683,"[""Engineering""]",1
27759,"[""Humanities""]",1
27780,"[""Mathematics""]",1
27891,"[""Humanities""]",1
27935,"[""Technology Studies""]",1
28046,"[""Technology Studies""]",1
28061,"[""Social Sciences Foundation""]",1
28149,"[""Technology Studies""]",1
28400,"[""Social Sciences Foundation""]",1
28418,"[""Computing & IT""]",1
28770,"[""Mathematics""]",1
28787,"[""Computing & IT""]",1
28808,"[""Engineering""]",1
28897,"[""Engineering""]",1
28952,"[""Computing & IT""]",1
29144,"[""Humanities""]",1
29335,"[""Engineering""]",1
29411,"[""Computing & IT"", ""Technology Studies""]",2
29420,"[""Computing & IT""]",1
29639,"[""Computing & IT"", ""Mathematics""]",2
29764,"[""Computing & IT""]",1
29769,"[""Engineering""]",1
29820,"[""Computing & IT"", ""Mathematics""]",2
29985,"[""Education Studies""]",1
30091,"[""Humanities""]",1
30096,"[""Computing & IT""]",1
30268,"[""Social Sciences Foundation""]",1
30531,"[""Engineering""]",1
30549,"[""Technology Studies""]",1
30850,"[""Computing & IT""]",1
31014,"[""Humanities""]",1
31107,"[""Education Studies""]",1
31161,"[""Computing & IT""]",1
31173,"[""Technology Studies""]",1
31205,"[""Education Studies""]",1
31269,"[""Technology Studies""]",1
31296,"[""Engineering""]",1
31600,"[""Social Sciences Foundation""]",1
31604,"[""Social Sciences Foundation""]",1
31663,"[""Humanities""]",1
31849,"[""Humanities""]",1
32221,"[""Engineering""]",1
32239,"[""Education Studies""]",1
32327,"[""Humanities""]",1
32553,"[""Mathematics""]",1
32885,"[""Social Sciences Foundation""]",1
32930,"[""Humanities""]",1
33387,"[""Technology Studies""]",1
33600,"[""Engineering""]",1
33666,"[""Humanities""]",1
33681,"[""Technology Studies""]",1
33796,"[""Technology Studies""]",1
33897,"[""Technology Studies""]",1
33915,"[""Engineering""]",1
33930,"[""Technology Studies""]",1
34068,"[""Computing & IT""]",1
