course_id,course_name,topic,rank,neighbour_id,neighbour_name,neighbour_topic,similarity
CRS00002,Business Strategy: Business Model Canvas Analysis with Miro,Business,1,CRS03304,Analyzing Macro-Environmental Factors Using Creately,Business,0.887393362
CRS00002,Business Strategy: Business Model Canvas Analysis with Miro,Business,2,CRS01117,Business Strategy in Practice (Project-centered Course),Business,0.883965307
CRS00002,Business Strategy: Business Model Canvas Analysis with Miro,Business,3,CRS00949,Change Leadership: Developing Strategic Gap Analysis in Miro,Business,0.876070536
CRS00002,Business Strategy: Business Model Canvas Analysis with Miro,Business,4,CRS00657,Business Model Innovation,Business,0.857205294
CRS00002,Business Strategy: Business Model Canvas Analysis with Miro,Business,5,CRS00204,"Making Successful Decisions through the Strategy, Law & Ethics Model",Business,0.855612167
CRS00002,Business Strategy: Business Model Canvas Analysis with Miro,Business,6,CRS03270,Business of Games and Entrepreneurship,Business,0.849071101
CRS00002,Business Strategy: Business Model Canvas Analysis with Miro,Business,7,CRS03124,Business Model Innovation for Sustainable Landscape Restoration,Business,0.84741881
CRS00002,Business Strategy: Business Model Canvas Analysis with Miro,Business,8,CRS01246,Business Analysis & Process Management,Business,0.84594009
CRS00002,Business Strategy: Business Model Canvas Analysis with Miro,Business,9,CRS00760,Protecting Business Innovations via Trademark,Business,0.836130605
CRS00002,Business Strategy: Business Model Canvas Analysis with Miro,Business,10,CRS01305,Digital Transformation of Financial Services - Capstone Project,Business,0.832255956
CRS00013,Hacking and Patching,Computing & IT,1,CRS03339,Protecting Cloud Architecture with Alibaba Cloud,Computing & IT,0.844916716
CRS00013,Hacking and Patching,Computing & IT,2,CRS02510,Security Best Practices in Google Cloud,Computing & IT,0.838621489
CRS00013,Hacking and Patching,Computing & IT,3,CRS03251,AWS Fundamentals: Addressing Security Risk,Computing & IT,0.831901471
CRS00013,Hacking and Patching,Computing & IT,4,CRS01083,"JavaScript, jQuery, and JSON",Computing & IT,0.825103232
CRS00013,Hacking and Patching,Computing & IT,5,CRS00044,Introduction to Cybersecurity Tools & Cyber Attacks,Computing & IT,0.823501324
CRS00013,Hacking and Patching,Computing & IT,6,CRS03053,Create Python Linux Script to Generate a Disk Usage Report,Computing & IT,0.822902433
CRS00013,Hacking and Patching,Computing & IT,7,CRS02907,Kotlin for Java Developers,Computing & IT,0.82253915
CRS00013,Hacking and Patching,Computing & IT,8,CRS01028,"Cybersecurity Roles, Processes & Operating System Security",Computing & IT,0.821016487
CRS00013,Hacking and Patching,Computing & IT,9,CRS02229,Become a JavaScript Pro with these 7 Skills,Computing & IT,0.818983217
CRS00013,Hacking and Patching,Computing & IT,10,CRS01036,Build a Relative Layout App in Android Studio,Computing & IT,0.816167474
CRS00014,Business Statistics and Analysis Capstone,Mathematics,1,CRS02486,Statistics with R Capstone,Mathematics,0.886145621
CRS00014,Business Statistics and Analysis Capstone,Mathematics,2,CRS02581,"Basic Data Descriptors, Statistical Distributions, and Application to Business Decisions",Mathematics,0.884954338
CRS00014,Business Statistics and Analysis Capstone,Mathematics,3,CRS01494,Data Analysis Tools,Mathematics,0.877034877
CRS00014,Business Statistics and Analysis Capstone,Mathematics,4,CRS03375,Simple Regression Analysis in Public Health,Mathematics,0.87110777
CRS00014,Business Statistics and Analysis Capstone,Mathematics,5,CRS00369,Introduction to Probability and Data with R,Mathematics,0.869811369
CRS00014,Business Statistics and Analysis Capstone,Mathematics,6,CRS00265,Survival Analysis in R for Public Health,Mathematics,0.858559664
CRS00014,Business Statistics and Analysis Capstone,Mathematics,7,CRS02665,Basic Statistics,Mathematics,0.85774552
CRS00014,Business Statistics and Analysis Capstone,Mathematics,8,CRS01390,Introduction to Business Analysis Using Spreadsheets: Basics,Mathematics,0.85746603
CRS00014,Business Statistics and Analysis Capstone,Mathematics,9,CRS01612,Introduction to Formal Concept Analysis,Mathematics,0.857439036
CRS00014,Business Statistics and Analysis Capstone,Mathematics,10,CRS02408,Inferential Statistics,Mathematics,0.857151047
CRS00016,Global Health: An Interdisciplinary Overview,Social Sciences Foundation,1,CRS01316,Foundations for Global Health Responders,Social Sciences Foundation,0.904104314
CRS00016,Global Health: An Interdisciplinary Overview,Social Sciences Foundation,2,CRS02170,Major Depression in the Population: A Public Health Approach,Social Sciences Foundation,0.877489483
CRS00016,Global Health: An Interdisciplinary Overview,Social Sciences Foundation,3,CRS00743,Community Change in Public Health,Social Sciences Foundation,0.845528871
CRS00016,Global Health: An Interdisciplinary Overview,Social Sciences Foundation,4,CRS03316,Planning for Climate Change in African Cities,Social Sciences Foundation,0.838881272
CRS00016,Global Health: An Interdisciplinary Overview,Social Sciences Foundation,5,CRS02150,The Korean Economic Development,Social Sciences Foundation,0.825287234
CRS00016,Global Health: An Interdisciplinary Overview,Social Sciences Foundation,6,CRS00418,Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Social Sciences Foundation,0.825043629
CRS00016,Global Health: An Interdisciplinary Overview,Social Sciences Foundation,7,CRS02418,Earth Economics,Social Sciences Foundation,0.823972356
CRS00016,Global Health: An Interdisciplinary Overview,Social Sciences Foundation,8,CRS03299,Osteoarchaeology: The Truth in Our Bones,Social Sciences Foundation,0.823000951
CRS00016,Global Health: An Interdisciplinary Overview,Social Sciences Foundation,9,CRS00741,"The Bible's Prehistory, Purpose, and Political Future",Social Sciences Foundation,0.821538762
CRS00016,Global Health: An Interdisciplinary Overview,Social Sciences Foundation,10,CRS00745,REAL BONES: Adventures in Forensic Anthropology,Social Sciences Foundation,0.819135889
CRS00029,"Philosophy, Science and Religion: Philosophy and Religion",Humanities,1,CRS00440,The Fall and Rise of Jerusalem,Humanities,0.818850781
CRS00029,"Philosophy, Science and Religion: Philosophy and Religion",Humanities,2,CRS01044,Learning How to Learn: Powerful mental tools to help you master tough subjects,Humanities,0.812754537
CRS00029,"Philosophy, Science and Religion: Philosophy and Religion",Humanities,3,CRS01386,Emotions: a Philosophical Introduction,Humanities,0.811513387
CRS00029,"Philosophy, Science and Religion: Philosophy and Religion",Humanities,4,CRS03214,From Freedom Rides to Ferguson: Narratives of Nonviolence in the American Civil Rights Movement,Humanities,0.809714193
CRS00029,"Philosophy, Science and Religion: Philosophy and Religion",Humanities,5,CRS02700,Music Production Capstone,Humanities,0.801332914
CRS00029,"Philosophy, Science and Religion: Philosophy and Religion",Humanities,6,CRS00215,"Understanding China, 1700-2000: A Data Analytic Approach, Part 1",Humanities,0.80077545
CRS00029,"Philosophy, Science and Religion: Philosophy and Religion",Humanities,7,CRS02815,Automating Team Communication with Google Sheets and Apps Script,Humanities,0.799437255
CRS00029,"Philosophy, Science and Religion: Philosophy and Religion",Humanities,8,CRS00894,Create a text adventure game with Ink,Humanities,0.798762265
