course_id,course_name,topic,rank,neighbour_id,neighbour_name,neighbour_topic,similarity
CRS00002,Business Strategy: Business Model Canvas Analysis with Miro,Business,1,CRS00949,Change Leadership: Developing Strategic Gap Analysis in Miro,Business,0.86990082
CRS00002,Business Strategy: Business Model Canvas Analysis with Miro,Business,2,CRS03304,Analyzing Macro-Environmental Factors Using Creately,Business,0.866012092
CRS00002,Business Strategy: Business Model Canvas Analysis with Miro,Business,3,CRS01117,Business Strategy in Practice (Project-centered Course),Business,0.85310224
CRS00002,Business Strategy: Business Model Canvas Analysis with Miro,Business,4,CRS00657,Business Model Innovation,Business,0.837394377
CRS00002,Business Strategy: Business Model Canvas Analysis with Miro,Business,5,CRS00204,"Making Successful Decisions through the Strategy, Law & Ethics Model",Business,0.836133646
CRS00002,Business Strategy: Business Model Canvas Analysis with Miro,Business,6,CRS01246,Business Analysis & Process Management,Business,0.83044327
CRS00002,Business Strategy: Business Model Canvas Analysis with Miro,Business,7,CRS01937,Digital Transformation,Business,0.830428602
CRS00002,Business Strategy: Business Model Canvas Analysis with Miro,Business,8,CRS00635,Social Marketing Capstone Project,Business,0.82864121
CRS00002,Business Strategy: Business Model Canvas Analysis with Miro,Business,9,CRS03120,Capstone: Creating A Sustainability Proposal,Business,0.821543346
CRS00002,Business Strategy: Business Model Canvas Analysis with Miro,Business,10,CRS02759,Getting Started with ASP.NET Core Razor Pages,Business,0.821241606
CRS00013,Hacking and Patching,Computing & IT,1,CRS03339,Protecting Cloud Architecture with Alibaba Cloud,Computing & IT,0.8752769
CRS00013,Hacking and Patching,Computing & IT,2,CRS03251,AWS Fundamentals: Addressing Security Risk,Computing & IT,0.848956833
CRS00013,Hacking and Patching,Computing & IT,3,CRS02510,Security Best Practices in Google Cloud,Computing & IT,0.847110401
CRS00013,Hacking and Patching,Computing & IT,4,CRS00959,Using TensorFlow with Amazon Sagemaker,Computing & IT,0.837741841
CRS00013,Hacking and Patching,Computing & IT,5,CRS00127,Real-Time Embedded Systems Concepts and Practices,Computing & IT,0.835325125
CRS00013,Hacking and Patching,Computing & IT,6,CRS01028,"Cybersecurity Roles, Processes & Operating System Security",Computing & IT,0.832807111
CRS00013,Hacking and Patching,Computing & IT,7,CRS01083,"JavaScript, jQuery, and JSON",Computing & IT,0.83190725
CRS00013,Hacking and Patching,Computing & IT,8,CRS00493,Software Processes and Agile Practices,Computing & IT,0.831704409
CRS00013,Hacking and Patching,Computing & IT,9,CRS02229,Become a JavaScript Pro with these 7 Skills,Computing & IT,0.831126603
CRS00013,Hacking and Patching,Computing & IT,10,CRS02948,Managing Change when Moving to Google Cloud,Computing & IT,0.830744691
CRS00014,Business Statistics and Analysis Capstone,Mathematics,1,CRS02486,Statistics with R Capstone,Mathematics,0.903325224
CRS00014,Business Statistics and Analysis Capstone,Mathematics,2,CRS00369,Introduction to Probability and Data with R,Mathematics,0.88690404
CRS00014,Business Statistics and Analysis Capstone,Mathematics,3,CRS02408,Inferential Statistics,Mathematics,0.881327225
CRS00014,Business Statistics and Analysis Capstone,Mathematics,4,CRS01494,Data Analysis Tools,Mathematics,0.876467621
CRS00014,Business Statistics and Analysis Capstone,Mathematics,5,CRS03375,Simple Regression Analysis in Public Health,Mathematics,0.867133707
CRS00014,Business Statistics and Analysis Capstone,Mathematics,6,CRS02513,"Probability Theory, Statistics and Exploratory Data Analysis",Mathematics,0.857803358
CRS00014,Business Statistics and Analysis Capstone,Mathematics,7,CRS01612,Introduction to Formal Concept Analysis,Mathematics,0.856452934
CRS00014,Business Statistics and Analysis Capstone,Mathematics,8,CRS00216,Statistical Data Visualization with Seaborn,Mathematics,0.854296049
CRS00014,Business Statistics and Analysis Capstone,Mathematics,9,CRS01390,Introduction to Business Analysis Using Spreadsheets: Basics,Mathematics,0.852527169
CRS00014,Business Statistics and Analysis Capstone,Mathematics,10,CRS00252,Doing Clinical Research: Biostatistics with the Wolfram Language,Mathematics,0.85118042
CRS00016,Global Health: An Interdisciplinary Overview,Social Sciences Foundation,1,CRS01316,Foundations for Global Health Responders,Social Sciences Foundation,0.905937342
CRS00016,Global Health: An Interdisciplinary Overview,Social Sciences Foundation,2,CRS02170,Major Depression in the Population: A Public Health Approach,Social Sciences Foundation,0.873894427
CRS00016,Global Health: An Interdisciplinary Overview,Social Sciences Foundation,3,CRS00743,Community Change in Public Health,Social Sciences Foundation,0.849691596
CRS00016,Global Health: An Interdisciplinary Overview,Social Sciences Foundation,4,CRS00418,Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Social Sciences Foundation,0.849226848
CRS00016,Global Health: An Interdisciplinary Overview,Social Sciences Foundation,5,CRS02221,Understanding Research Methods,Social Sciences Foundation,0.845158673
CRS00016,Global Health: An Interdisciplinary Overview,Social Sciences Foundation,6,CRS01862,International Business I,Social Sciences Foundation,0.844676604
CRS00016,Global Health: An Interdisciplinary Overview,Social Sciences Foundation,7,CRS02415,Model Thinking,Social Sciences Foundation,0.843024396
CRS00016,Global Health: An Interdisciplinary Overview,Social Sciences Foundation,8,CRS02150,The Korean Economic Development,Social Sciences Foundation,0.838348196
CRS00016,Global Health: An Interdisciplinary Overview,Social Sciences Foundation,9,CRS02418,Earth Economics,Social Sciences Foundation,0.835897725
CRS00016,Global Health: An Interdisciplinary Overview,Social Sciences Foundation,10,CRS01799,Design and Interpretation of Clinical Trials,Social Sciences Foundation,0.835564657
CRS00029,"Philosophy, Science and Religion: Philosophy and Religion",Humanities,1,CRS00440,The Fall and Rise of Jerusalem,Humanities,0.856695383
CRS00029,"Philosophy, Science and Religion: Philosophy and Religion",Humanities,2,CRS01044,Learning How to Learn: Powerful mental tools to help you master tough subjects,Humanities,0.826414186
CRS00029,"Philosophy, Science and Religion: Philosophy and Religion",Humanities,3,CRS00293,"Android App Components - Services, Local IPC, and Content Providers",Humanities,0.821336797
CRS00029,"Philosophy, Science and Religion: Philosophy and Religion",Humanities,4,CRS01729,The Bilingual Brain,Humanities,0.82103089
CRS00029,"Philosophy, Science and Religion: Philosophy and Religion",Humanities,5,CRS00542,Children's Human Rights - An Interdisciplinary Introduction,Humanities,0.820749271
CRS00029,"Philosophy, Science and Religion: Philosophy and Religion",Humanities,6,CRS02044,"The Holocaust - An Introduction (I): Nazi Germany: Ideology, The Jews and the World",Humanities,0.820407827
CRS00029,"Philosophy, Science and Religion: Philosophy and Religion",Humanities,7,CRS01472,Teaching EFL/ESL Reading: A Task Based Approach,Humanities,0.820076898
