course_name,Justice,CS50: Introduction to Computer Science,Health in Numbers: Quantitative Methods,Health in Numbers: Epidemiology and Statistics,Human Health and Global Environmental Change,Circuits and Electronics,The Challenges of Global Poverty,Elements of Structures,Introduction to Solid State Chemistry,Introduction to Computer Science and Programming,Introduction to Biology: The Secret of Life,Electricity and Magnetism,Mechanics ReView
Justice,0,0.019728124,0.060624058,0,0,0.0401545,0.071659156,0,0,0,0,0,0
CS50: Introduction to Computer Science,0.019728124,0,0.01202887,0.033808267,0,0.017773071,0.028731442,0.017578488,0.04405109,0.255156037,0.01608852,0.012225635,0.022072917
Health in Numbers: Quantitative Methods,0.060624058,0.01202887,0,0.17793785,0.020898465,0.026931196,0.033844179,0.018006091,0.020920278,0.022487249,0,0.021449314,0.008521446
Health in Numbers: Epidemiology and Statistics,0,0.033808267,0.17793785,0,0.031308724,0.011567891,0.021096564,0.011441244,0,0.018450169,0.045848242,0,0
Human Health and Global Environmental Change,0,0,0.020898465,0.031308724,0,0.018523157,0.029898658,0.010696212,0.007691172,0.008267256,0.009789592,0.007885668,0.007528024
Circuits and Electronics,0.0401545,0.017773071,0.026931196,0.011567891,0.018523157,0,0,0.04780851,0.008649785,0.009297671,0.011009748,0.008868522,0.008466303
The Challenges of Global Poverty,0.071659156,0.028731442,0.033844179,0.021096564,0.029898658,0,0,0,0.013070937,0.031359192,0,0.020996315,0
Elements of Structures,0,0.017578488,0.018006091,0.011441244,0.010696212,0.04780851,0,0,0.022699103,0,0.010889211,0,0.037617672
Introduction to Solid State Chemistry,0,0.04405109,0.020920278,0,0.007691172,0.008649785,0.013070937,0.022699103,0,0.057356678,0,0.021262486,0.008447223
Introduction to Computer Science and Programming,0,0.255156037,0.022487249,0.018450169,0.008267256,0.009297671,0.031359192,0,0.057356678,0,0,0.022855089,0.009079937
Introduction to Biology: The Secret of Life,0,0.01608852,0,0.045848242,0.009789592,0.011009748,0,0.010889211,0,0,0,0,0
Electricity and Magnetism,0,0.012225635,0.021449314,0,0.007885668,0.008868522,0.020996315,0,0.021262486,0.022855089,0,0,0.031640533
Mechanics ReView,0,0.022072917,0.008521446,0,0.007528024,0.008466303,0,0.037617672,0.008447223,0.009079937,0,0.031640533,0
